date,icase,490.000000,665.000000,865.000000,3.000000,4.000000,5.000000
1970-01-01 00:00:00,141,0.048778,0.032176,0.004979,0.0,0.0,0.0
1970-01-01 00:00:00,142,0.059971,0.050438,0.009128,0.0,0.0,0.0
1970-01-01 00:00:00,143,0.056679,0.045485,0.009136,0.0,0.0,0.0
1970-01-01 00:00:00,144,0.052217,0.038687,0.00638,0.0,0.0,0.0
1970-01-01 00:00:00,145,0.048736,0.033924,0.007859,0.0,0.0,0.0
1970-01-01 00:00:00,146,0.050504,0.031221,0.009017,0.0,0.0,0.0
1970-01-01 00:00:00,147,0.048361,0.025686,0.003766,0.0,0.0,0.0
1970-01-01 00:00:00,148,0.075696,0.056759,0.010682,0.0,0.0,0.0
1970-01-01 00:00:00,149,0.084256,0.062528,0.009409,0.0,0.0,0.0
1970-01-01 00:00:00,150,0.09608,0.099964,0.019569,0.0,0.0,0.0
1970-01-01 00:00:00,151,0.095577,0.070035,0.008881,0.0,0.0,0.0
1970-01-01 00:00:00,152,0.07105,0.062769,0.010524,0.0,0.0,0.0
1970-01-01 00:00:00,153,0.093687,0.07234,0.009988,0.0,0.0,0.0
1970-01-01 00:00:00,154,0.084589,0.04738,0.005441,0.0,0.0,0.0
1970-01-01 00:00:00,155,0.085052,0.036051,0.004898,0.0,0.0,0.0
1970-01-01 00:00:00,156,0.05328,0.012937,0.00295,0.0,0.0,0.0
1970-01-01 00:00:00,157,0.050125,0.01246,0.002072,0.0,0.0,0.0
1970-01-01 00:00:00,158,0.033645,0.006603,0.001302,0.0,0.0,0.0
1970-01-01 00:00:00,159,0.062433,0.031519,0.003939,0.0,0.0,0.0
1970-01-01 00:00:00,160,0.057588,0.020786,0.009704,0.0,0.0,0.0
1970-01-01 00:00:00,161,0.069823,0.032743,0.004471,0.0,0.0,0.0
1970-01-01 00:00:00,162,0.071402,0.030409,0.004333,0.0,0.0,0.0
1970-01-01 00:00:00,163,0.065607,0.0258,0.007915,0.0,0.0,0.0
1970-01-01 00:00:00,164,0.063272,0.023185,0.004602,0.0,0.0,0.0
1970-01-01 00:00:00,165,0.055935,0.016432,0.005013,0.0,0.0,0.0
1970-01-01 00:00:00,166,0.046489,0.015138,0.003778,0.0,0.0,0.0
1970-01-01 00:00:00,167,0.045461,0.015791,0.004371,0.0,0.0,0.0
1970-01-01 00:00:00,168,0.043355,0.014819,0.00364,0.0,0.0,0.0
